date,avgTaxiDuration,avgTaxiDistance,totalTaxiTrips
2021-01-01,0 days 00:14:15.381077053,5.762586497063681,24827
2021-01-02,0 days 00:15:46.533358593,5.539014394368825,34309
2021-01-03,0 days 00:15:12.903814765,15.691055836933003,26345
2021-01-04,0 days 00:14:13.734178920,6.258865064007184,44545
2021-01-05,0 days 00:13:58.007188566,6.514547557802901,46880
2021-01-06,0 days 00:13:46.000827497,7.824177002865966,49547
2021-01-07,0 days 00:14:10.413263074,6.252605911930802,50290
2021-01-08,0 days 00:13:56.533292390,6.10409555046853,50477
2021-01-09,0 days 00:14:08.553306106,8.311769923184084,39911
2021-01-10,0 days 00:13:49.949857645,8.302190204347681,29855
2021-01-11,0 days 00:13:42.637046681,9.308900185207795,46849
2021-01-12,0 days 00:14:00.969002453,4.449513555813536,50133
2021-01-13,0 days 00:13:52.621116438,9.454390695485907,51306
2021-01-14,0 days 00:14:09.670373791,6.8115413332679875,53051
2021-01-15,0 days 00:12:22.416339770,4.468680455718165,53024
2021-01-16,0 days 00:13:10.972161247,15.504485793264985,38723
2021-01-17,0 days 00:13:02.542566828,5.247054198142879,31985
2021-01-18,0 days 00:13:03.258061037,4.919460206605198,37092
2021-01-19,0 days 00:14:02.851336292,6.088375270726701,51149
2021-01-20,0 days 00:13:27.259400853,8.93309681467322,49437
2021-01-21,0 days 00:14:41.305386636,5.200775222060811,53280
2021-01-22,0 days 00:14:35.815215989,4.3402000965570595,54285
2021-01-23,0 days 00:13:21.826960574,4.448788025904789,42054
2021-01-24,0 days 00:12:49.840202365,5.218840748712661,31033
2021-01-25,0 days 00:13:57.749024734,4.504692079564768,47423
2021-01-26,0 days 00:13:58.805366180,8.53027304812832,47818
2021-01-27,0 days 00:13:52.275339473,4.233632712513531,52655
2021-01-28,0 days 00:14:48.994047197,13.562045380483312,56444
2021-01-29,0 days 00:14:16.053368008,15.763227402395518,54602
2021-01-30,0 days 00:13:28.175566487,4.488720115453827,39233
2021-01-31,0 days 00:12:32.057595484,10.75671285143187,31183
2021-02-01,0 days 00:14:56.363222107,4.982599910274879,6803
2021-02-02,0 days 00:12:39.150764274,4.666929357132086,29178
2021-02-03,0 days 00:16:25.223520923,9.842234890357142,55440
2021-02-04,0 days 00:17:44.452263762,4.461937061308702,59326
2021-02-05,0 days 00:16:14.081807166,6.974384528464601,57770
2021-02-06,0 days 00:15:12.148538620,4.397359366827375,49987
2021-02-07,0 days 00:12:22.152721187,18.547077935957507,27488
2021-02-08,0 days 00:14:55.182856811,15.213944798685457,51729
2021-02-09,0 days 00:14:49.619327555,4.351187448049608,52733
2021-02-10,0 days 00:15:27.254913144,4.3453364994970185,57855
2021-02-11,0 days 00:15:30.923872068,4.353030402057143,58625
2021-02-12,0 days 00:15:25.602191444,5.263948464004653,63611
2021-02-13,0 days 00:13:43.017330162,11.891777528975288,48355
2021-02-14,0 days 00:13:38.201451905,4.83360230685118,39672
2021-02-15,0 days 00:13:26.309111651,4.820338496691632,40322
2021-02-16,0 days 00:15:07.113706039,11.578148697174436,51211
2021-02-17,0 days 00:15:25.946215470,8.20810664298441,60166
2021-02-18,0 days 00:13:18.738989008,4.452398414438236,38121
2021-02-19,0 days 00:13:18.204944464,4.3641143689867805,53029
2021-02-20,0 days 00:13:46.850603817,11.856621548546944,51340
2021-02-21,0 days 00:13:29.301031816,5.0722729729841864,37119
2021-02-22,0 days 00:14:29.844710941,4.5417438750862935,50699
2021-02-23,0 days 00:14:47.204408677,4.398343957652204,57160
2021-02-24,0 days 00:15:29.918007637,7.755150195484333,59969
2021-02-25,0 days 00:16:06.586877258,4.419242862661332,61984
2021-02-26,0 days 00:15:36.275774535,7.379421182347004,65394
2021-02-27,0 days 00:14:00.371886484,4.567788276288281,48980
2021-02-28,0 days 00:13:55.018930128,8.210505926534085,37612
2021-03-01,0 days 00:14:10.578397403,14.72575947158436,54836
2021-03-02,0 days 00:14:02.657083259,6.670597066413338,61843
2021-03-03,0 days 00:15:08.037031770,5.564362778659336,63297
2021-03-04,0 days 00:14:32.122697010,7.925209583262091,67141
2021-03-05,0 days 00:14:55.546693110,4.448256512738927,69582
2021-03-06,0 days 00:13:17.026416260,7.247723430852302,55004
2021-03-07,0 days 00:13:55.042647700,5.21013319063856,38947
2021-03-08,0 days 00:14:27.753082690,11.791883407238549,56282
2021-03-09,0 days 00:14:32.094446951,8.29234737958618,62056
2021-03-10,0 days 00:14:40.354869652,7.260396420013925,64635
2021-03-11,0 days 00:15:01.658687813,6.638590248737944,68222
2021-03-12,0 days 00:15:16.632341457,5.765921477039991,71716
2021-03-13,0 days 00:14:44.367405947,4.690325059960571,60870
2021-03-14,0 days 00:14:02.220589573,5.065720879737967,43964
2021-03-15,0 days 00:14:18.813978862,12.42346978594297,61407
2021-03-16,0 days 00:14:46.588341300,7.447043335710686,65479
2021-03-17,0 days 00:14:36.044972731,8.598443235944623,71510
2021-03-18,0 days 00:15:15.617201806,8.648421605647268,71539
2021-03-19,0 days 00:15:32.827240114,5.62944135042928,74427
2021-03-20,0 days 00:14:35.607315804,6.449911900068251,61538
2021-03-21,0 days 00:14:34.825879797,5.3389565614839105,45124
2021-03-22,0 days 00:14:33.652529228,9.106528724508413,59959
2021-03-23,0 days 00:14:37.255853842,7.79475856754894,63548
2021-03-24,0 days 00:14:51.857498652,5.842093123235118,68659
2021-03-25,0 days 00:15:24.138414398,6.861846381500838,69841
2021-03-26,0 days 00:16:02.588005711,6.992840875536819,73535
2021-03-27,0 days 00:15:04.714669396,4.756122678187322,67392
2021-03-28,0 days 00:12:59.283585783,5.449800243272944,40404
2021-03-29,0 days 00:13:44.400123866,6.531926963559104,58127
2021-03-30,0 days 00:15:43.893226589,4.709033263008605,66702
2021-03-31,0 days 00:14:53.702797151,4.95311208962137,67533
2021-04-01,0 days 00:15:08.848444683,9.845172168051471,72429
2021-04-02,0 days 00:14:39.326786454,4.670746219723566,72350
2021-04-03,0 days 00:14:37.239397222,7.26844137010041,61847
2021-04-04,0 days 00:14:23.724076873,10.410408655227814,46310
2021-04-05,0 days 00:15:06.049416249,10.272494293466762,62955
2021-04-06,0 days 00:15:18.748283006,4.838244853723465,70472
2021-04-07,0 days 00:15:23.714134554,10.145200165840265,74661
2021-04-08,0 days 00:16:11.820193013,14.11694008224865,77611
2021-04-09,0 days 00:15:53.264744313,13.06519834403694,78827
2021-04-10,0 days 00:15:03.426784882,6.703462944473562,68688
2021-04-11,0 days 00:14:07.463727303,5.34028992721503,47584
2021-04-12,0 days 00:15:16.630564093,9.895789108859859,70272
2021-04-13,0 days 00:15:31.160982705,12.78355614768601,74244
2021-04-14,0 days 00:15:49.965910267,14.699924886661663,77296
2021-04-15,0 days 00:15:52.958621890,6.495561885449279,80429
2021-04-16,0 days 00:16:36.217303774,9.621349292114582,82456
2021-04-17,0 days 00:14:48.953833281,8.699195599765185,74101
2021-04-18,0 days 00:14:53.116395471,9.765803449971372,54143
2021-04-19,0 days 00:14:51.615456210,17.44493270976244,67688
2021-04-20,0 days 00:16:22.071020273,15.666183643605509,78724
2021-04-21,0 days 00:15:39.868459183,15.409535434475286,79367
2021-04-22,0 days 00:15:35.118396092,11.67533238493313,84344
2021-04-23,0 days 00:16:05.524490977,17.21775190835825,84623
2021-04-24,0 days 00:15:54.997932993,11.117921860265287,78858
2021-04-25,0 days 00:14:20.381674437,10.14720417370363,49330
2021-04-26,0 days 00:15:06.083386740,18.29251457653208,70215
2021-04-27,0 days 00:15:13.182698970,15.207132604937172,76481
2021-04-28,0 days 00:15:53.545846249,27.04251524838721,83551
2021-04-29,0 days 00:16:25.121420751,9.686762126373921,82210
2021-04-30,0 days 00:16:27.617912190,11.336233488388958,89079
2021-05-01,0 days 00:14:39.159255954,18.771822683299874,80694
2021-05-02,0 days 00:14:46.544367340,11.021084896766574,60957
2021-05-03,0 days 00:15:07.610209803,30.51309923007135,75261
2021-05-04,0 days 00:15:20.613234603,10.290543393042748,80894
2021-05-05,0 days 00:16:05.558598103,12.040716276417122,87025
2021-05-06,0 days 00:16:39.361515507,15.775362895695814,88472
2021-05-07,0 days 00:16:49.041728456,15.380487622021366,92383
2021-05-08,0 days 00:14:34.190325039,12.205306076389949,80021
2021-05-09,0 days 00:15:35.609500318,10.200359477755542,64461
2021-05-10,0 days 00:15:14.085481919,11.256506671670923,74390
2021-05-11,0 days 00:15:41.442992646,22.57686609341062,83498
2021-05-12,0 days 00:15:41.920384035,11.021908294993496,86867
2021-05-13,0 days 00:16:02.542501242,17.63535996637464,82527
2021-05-14,0 days 00:17:05.009598132,10.053643765141919,92518
2021-05-15,0 days 00:15:39.794902380,10.964594326835087,88865
2021-05-16,0 days 00:15:00.919154641,24.06773885086916,66386
2021-05-17,0 days 00:14:25.592466631,5.029168712746805,74097
2021-05-18,0 days 00:15:23.904048506,15.563114762360213,84772
2021-05-19,0 days 00:16:28.705311187,6.093684239537985,90733
2021-05-20,0 days 00:17:44.510135608,13.511057511935098,92693
2021-05-21,0 days 00:16:56.788616515,13.163648636423778,94927
2021-05-22,0 days 00:15:25.037146927,9.208430622853715,93359
2021-05-23,0 days 00:14:56.614485131,8.980811862942344,71494
2021-05-24,0 days 00:15:22.727344201,19.295792260575162,81403
2021-05-25,0 days 00:16:41.818571348,5.93658895719231,88685
2021-05-26,0 days 00:17:19.361606186,7.785258955828799,93364
2021-05-27,0 days 00:17:33.130625223,14.906489688867978,92463
2021-05-28,0 days 00:17:09.525730987,18.288699982024134,87929
2021-05-29,0 days 00:14:28.979121116,13.151489756539279,64946
2021-05-30,0 days 00:14:38.465339233,10.380766984963127,54240
2021-05-31,0 days 00:15:17.688698382,18.624499413677654,56691
2021-06-01,0 days 00:16:37.164494261,15.843348537862632,86003
2021-06-02,0 days 00:16:55.154648864,6.192948626185307,92571
2021-06-03,0 days 00:16:38.703566691,9.43647492081779,96504
2021-06-04,0 days 00:17:21.100900731,7.78356704264089,95589
2021-06-05,0 days 00:15:39.794597021,14.865376329434698,97983
2021-06-06,0 days 00:15:31.801901253,9.200534983566266,77633
2021-06-07,0 days 00:15:38.272164646,8.287534546510033,88869
2021-06-08,0 days 00:17:07.118204383,9.156315069585423,94675
2021-06-09,0 days 00:16:50.984821679,6.535414981265329,99484
2021-06-10,0 days 00:16:59.504611419,18.732370600040394,103981
2021-06-11,0 days 00:16:49.405274559,13.09459073122934,98321
2021-06-12,0 days 00:15:54.707342251,9.395667686351011,93963
2021-06-13,0 days 00:15:53.478762333,11.190936901133037,73784
2021-06-14,0 days 00:15:46.329621918,7.591095492437227,86939
2021-06-15,0 days 00:16:52.384809971,16.99846472584508,98038
2021-06-16,0 days 00:16:42.024008769,12.246071198248035,102171
2021-06-17,0 days 00:18:42.271221009,10.582919119486421,102964
2021-06-18,0 days 00:18:40.190142836,14.075118340176171,98994
2021-06-19,0 days 00:15:40.951330830,15.99980317208265,96406
2021-06-20,0 days 00:16:01.760023093,11.618526739531722,77945
2021-06-21,0 days 00:15:54.246539011,8.142591834081655,90870
2021-06-22,0 days 00:16:44.442884698,13.989408541675841,99019
2021-06-23,0 days 00:17:32.070188055,10.783882113603187,102895
2021-06-24,0 days 00:18:25.836581007,16.715471068272823,104639
2021-06-25,0 days 00:18:21.290055569,7.790761437632389,103294
